vehicle_id,price_recorded_date,price
214363,2021-02-21,45587
214363,2015-09-26,44098
214363,2018-09-25,43442
214363,2021-11-10,46004
214363,2018-01-29,43023
214363,2021-03-29,42003
813950,2003-08-11,43226
813950,2013-04-20,42503
813950,2001-09-04,42888
813950,2001-04-23,43939
813950,2003-04-08,43070
813950,2001-08-13,41842
138383,2023-07-29,45585
138383,2015-08-14,44818
138383,2016-10-04,45365
138383,2016-07-11,42861
138383,2020-04-12,43563
494481,2012-11-23,45028
494481,2015-12-07,44929
494481,2009-12-26,43256
494481,2017-01-07,45100
494481,2015-12-21,42605
494481,2017-04-15,42128
494481,2019-05-18,45213
494481,2012-05-31,45440
494481,2008-08-01,44849
494481,2014-12-02,43048
388014,2009-12-24,42847
388014,2006-07-26,44247
388014,2014-02-23,45582
388014,2005-07-21,42832
287300,2015-02-20,41768
287300,2010-09-18,44959
287300,2012-11-25,43628
852621,2004-05-02,43178
852621,2009-01-08,45935
852621,2006-11-11,41781
852621,2004-02-17,46045
852621,2003-06-29,44166
852621,2008-10-13,43829
686118,2020-02-03,42677
990403,2019-09-15,43544
990403,2019-01-22,42673
990403,2020-06-25,43453
990403,2020-02-23,44087
990403,2020-09-22,43302
990403,2019-05-09,44330
801366,2022-09-22,44663
801366,2023-04-06,43584
801366,2022-10-10,43968
801366,2022-04-27,44591
801366,2023-03-05,42396
801366,2022-06-22,42607
517071,2023-03-23,44197
517071,2017-07-03,43093
517071,2017-12-19,44387
517071,2013-11-25,44746
517071,2010-06-07,46038
517071,2015-05-28,44577
517071,2006-02-18,44813
517071,2008-05-11,43208
517071,2018-04-19,42888
350226,2012-03-26,44032
350226,2016-12-22,44294
689009,2011-10-13,44846
689009,2011-03-13,44309
689009,2018-10-10,43191
689009,2016-07-20,43893
689009,2015-02-10,42990
689009,2019-08-09,43877
689009,2022-01-22,43078
689009,2016-01-27,43105
689009,2010-10-18,45877
689009,2012-04-18,45540
494977,2023-01-05,42053
190403,2003-07-12,44867
190403,2009-01-18,42789
190403,2011-01-16,45273
190403,2005-02-05,44218
190403,2009-08-17,45371
775709,2020-01-31,45469
775709,2019-01-14,43605
775709,2019-09-21,42389
572498,2019-09-08,44190
572498,2014-07-11,43635
572498,2015-02-26,41770
572498,2015-03-16,45734
572498,2010-03-27,43542
339184,2022-09-25,43128
339184,2022-06-08,45542
339184,2022-10-28,42971
339184,2018-05-25,42303
339184,2019-08-01,44554
339184,2018-07-07,43360
339184,2020-11-16,44194
339184,2018-01-14,43202
339184,2023-03-02,44820
254565,2010-01-31,44072
386215,2011-03-31,45141
386215,2009-06-27,45337
386215,2010-08-18,45624
997147,2017-11-29,45574
997147,2009-08-23,44803
997147,2023-06-01,45089
997147,2023-05-21,43729
997147,2009-10-22,42982
997147,2021-04-24,42698
997147,2015-07-06,43001
997147,2008-05-31,41958
997147,2018-07-04,45353
118430,2023-11-06,43993
118430,2023-09-20,42692
118430,2023-03-12,44534
118430,2023-11-02,44218
118430,2023-07-28,43421
118430,2023-03-03,43211
118430,2023-11-01,44862
118430,2023-12-08,45415
318566,2020-02-22,45450
318566,2016-02-01,42678
318566,2017-04-21,43700
318566,2019-05-19,44339
318566,2019-12-11,42988
318566,2019-08-25,41952
318566,2020-03-02,45981
318566,2016-06-27,43813
318566,2017-02-16,43185
318566,2015-02-24,45651
459973,2019-03-28,41669
459973,2004-11-08,44154
459973,2008-10-05,43062
459973,2021-04-11,44034
495638,2017-08-28,45149
495638,2017-11-29,43365
495638,2021-05-17,44127
48134,2021-10-10,41746
48134,2014-06-13,46012
48134,2014-11-29,43313
48134,2003-12-09,43252
48134,2022-01-03,44632
48134,2009-09-02,44360
531407,2020-11-24,42543
17926,2018-02-27,42460
17926,2018-02-13,43486
17926,2017-08-31,43453
617726,2008-03-01,44712
617726,2020-04-09,45122
617726,2006-02-15,45957
617726,2015-10-11,42166
617726,2013-04-15,44651
560167,2023-06-20,43235
560167,2023-02-13,44177
560167,2022-07-27,43757
560167,2023-02-05,42048
560167,2022-12-06,42204
560167,2022-01-26,42237
560167,2023-07-13,43494
163032,2020-12-20,43389
163032,2019-07-09,41921
163032,2020-01-19,43377
163032,2020-04-14,43032
163032,2019-10-01,42866
163032,2019-07-06,43605
163032,2021-06-14,45696
163032,2021-03-24,43743
663834,2021-11-29,45748
663834,2021-06-26,42401
663834,2022-11-08,43575
663834,2021-07-24,42892
663834,2017-06-27,43034
663834,2020-02-16,42997
663834,2021-11-16,42880
663834,2019-07-02,43206
663834,2021-08-07,45839
663834,2023-10-29,43963
637320,2023-01-13,45702
637320,2019-10-24,45725
637320,2023-05-10,45189
637320,2022-11-09,43623
522774,2021-12-31,43282
522774,2018-10-23,42191
522774,2018-10-03,44495
109462,2022-04-10,43659
109462,2021-10-14,42772
109462,2020-04-16,44957
109462,2021-05-13,45373
109462,2022-11-26,42680
109462,2019-10-30,43097
109462,2019-11-23,43955
12018,2021-10-24,43217
12018,2018-01-22,45751
12018,2018-03-10,43427
12018,2018-08-14,42197
12018,2019-02-17,41872
101663,2017-08-13,45906
101663,2013-06-09,44558
326461,2021-05-27,45857
753140,2020-04-08,41681
753140,2022-08-04,44562
753140,2020-02-26,45393
753140,2019-08-19,42567
386171,2020-02-03,44138
940364,2014-03-06,42543
940364,2019-07-04,42211
940364,2021-02-08,45128
940364,2020-02-13,44168
940364,2022-06-10,43510
940364,2017-10-02,43985
940364,2020-12-11,43271
940364,2023-07-28,45258
940364,2022-06-14,43006
904798,2020-10-29,41833
904798,2020-09-01,44848
904798,2020-03-12,44431
904798,2021-03-05,43407
904798,2021-01-25,42720
904798,2021-09-30,43265
904798,2021-02-19,44615
637284,2003-03-23,41809
637284,2020-03-22,45725
637284,2021-10-08,44955
637284,2010-06-24,42442
777363,2020-02-21,45840
777363,2021-02-05,43259
777363,2021-05-16,45921
777363,2020-11-18,42622
777363,2020-05-14,41709
777363,2020-09-11,42103
777363,2021-07-29,42882
777363,2020-04-09,44312
777363,2020-08-01,42142
205869,2013-05-04,43710
205869,2012-05-05,41851
205869,2013-06-14,44864
205869,2013-10-18,41998
167235,2022-01-05,44686
167235,2022-02-07,45200
167235,2022-03-19,43840
167235,2022-03-15,41742
167235,2022-03-18,41702
167235,2022-04-30,45725
707962,2023-01-18,45934
707962,2011-04-17,42408
707962,2014-11-21,44177
707962,2016-07-26,44071
707962,2021-11-23,43737
707962,2018-05-24,44957
117749,2008-02-20,43494
117749,2016-02-16,44214
117749,2016-07-13,42784
117749,2015-01-09,43869
117749,2016-02-18,45589
117749,2014-01-31,44877
117749,2017-04-07,44870
117749,2016-05-27,44195
49335,2021-06-28,42112
109985,2008-01-26,43327
109985,2013-09-20,44502
109985,2012-03-03,43623
729614,2022-12-26,45615
729614,2019-06-13,45267
729614,2016-03-24,42477
232227,2022-05-27,42144
232227,2023-05-11,43528
232227,2019-05-03,43540
232227,2019-08-01,45190
577640,2018-05-06,42386
577640,2015-12-16,44945
577640,2021-08-29,44226
577640,2017-03-13,44648
191469,2019-01-19,42130
191469,2019-04-04,41792
191469,2022-12-22,44610
191469,2016-09-25,41910
191469,2021-03-10,43345
191469,2021-03-22,42297
191469,2023-06-12,43613
191469,2016-09-28,45529
904852,2010-12-06,42926
904852,2015-11-11,45173
27555,2021-01-09,42883
27555,2021-01-12,43935
27555,2021-01-06,44192
27555,2021-01-10,44859
27555,2021-01-07,43998
27555,2021-01-08,44308
137226,2018-04-03,45817
137226,2010-03-22,45882
137226,2002-04-13,44684
137226,2002-02-06,42147
137226,2018-01-22,42569
137226,2014-02-16,44382
137226,2007-03-08,45456
137226,2019-02-21,44452
137226,2019-02-08,42585
556246,2010-03-27,46026
556246,2014-12-10,44972
556246,2014-11-27,43846
556246,2013-12-03,46022
556246,2014-09-08,42592
556246,2009-08-21,41977
556246,2008-11-05,45033
556246,2011-04-09,42629
556246,2015-01-12,43483
556246,2011-11-19,43256
721024,2021-11-04,43513
721024,2021-03-10,44226
721024,2021-08-08,42074
721024,2022-01-04,41702
721024,2021-02-22,44663
721024,2021-07-20,42114
721024,2020-01-11,41681
721024,2020-04-07,42587
532507,2021-03-31,44557
532507,2021-04-08,44393
532507,2020-09-14,44802
532507,2022-04-26,44307
532507,2022-07-24,45310
532507,2023-08-09,45003
532507,2022-04-04,43860
327263,2021-02-12,42754
327263,2014-03-06,42631
327263,2017-06-27,43058
327263,2021-08-24,42118
327263,2015-09-07,42829
327263,2017-10-10,42703
327263,2016-03-08,41884
382959,2021-10-16,42170
382959,2023-08-16,42606
382959,2020-09-27,44821
382959,2023-05-17,44510
382959,2023-06-26,42927
382959,2020-01-17,45280
382959,2021-02-21,42715
382959,2020-02-18,42125
382959,2020-02-29,42529
467471,2018-01-17,45768
281906,2022-04-02,45867
281906,2022-07-11,43072
281906,2019-05-03,44016
281906,2021-04-26,44088
281906,2019-05-06,42420
281906,2021-12-04,42366
281906,2019-06-14,41755
59119,2015-12-30,44571
59119,2015-10-13,44004
59119,2015-01-20,43845
59119,2016-01-03,44936
59119,2015-11-23,42304
59119,2015-03-14,45327
59119,2015-04-25,43138
8112,2020-08-17,44290
8112,2020-06-10,44277
8112,2020-03-30,41855
8112,2020-04-26,42007
8112,2020-07-17,45616
8112,2020-02-20,45565
8112,2020-02-29,43411
8112,2020-01-21,42437
8112,2020-01-19,45658
8112,2020-03-17,43797
731275,2010-04-10,42406
731275,2009-11-14,43372
731275,2013-01-28,42379
731275,2017-01-18,42816
6055,2018-11-07,42864
6055,2016-11-01,42370
6055,2016-04-25,41906
6055,2023-01-07,43848
6055,2023-12-28,44841
6055,2017-06-18,43127
6055,2019-11-08,42337
6055,2010-12-05,41995
6055,2019-10-27,43118
526588,2022-10-18,42773
526588,2022-03-26,43249
526588,2022-10-01,42380
526588,2023-04-07,42677
526588,2022-10-06,44817
526588,2022-03-08,44766
774443,2023-02-02,42826
774443,2022-06-30,42097
774443,2023-02-16,42261
774443,2023-12-06,44470
852526,2011-01-07,42123
852526,2011-01-23,42017
852526,2011-03-10,44012
852526,2011-04-17,42135
852526,2011-02-11,43887
852526,2011-04-19,45681
907420,2021-05-29,41996
907420,2023-03-30,45192
907420,2022-06-27,45279
907420,2018-01-03,43236
853022,2019-09-14,41757
501785,2008-10-08,45422
501785,2009-06-07,42805
501785,2009-10-05,44039
501785,2009-03-20,44572
501785,2014-01-21,44370
76364,2016-12-24,43507
76364,2021-11-26,45044
76364,2022-07-19,42282
76364,2016-12-21,41697
76364,2023-09-03,42853
76364,2018-07-26,46010
746939,2023-09-16,45639
746939,2023-05-19,42200
858719,2020-08-02,43206
858719,2020-10-24,44932
858719,2019-08-17,43591
858719,2019-03-06,44519
858719,2019-02-26,42372
423679,2023-05-01,43918
423679,2023-03-14,43053
423679,2023-03-06,42805
423679,2022-06-08,43603
423679,2023-04-23,42881
423679,2023-06-18,45687
423679,2022-06-09,43746
145976,2017-01-20,44552
145976,2015-05-28,44804
145976,2015-10-27,42654
145976,2016-01-25,42729
145976,2015-03-01,41751
145976,2016-04-13,45291
145976,2015-01-21,42004
651312,2022-04-04,43500
651312,2018-08-22,44599
748326,2020-10-01,45768
190985,2014-11-03,45355
190985,2006-06-28,43619
190985,2006-09-26,45007
190985,2001-12-20,45204
190985,2001-01-16,43011
