sale_id,vehicle_id,customer_id,sale_date,sale_price
956807,214363,866,2023-08-06,23414
289381,813950,448,2013-08-22,30958
784217,494481,822,2019-09-25,38387
633004,388014,2099,2014-11-01,24826
932420,287300,706,2015-09-29,25223
377444,852621,429,2009-09-09,41590
317663,686118,2297,2023-08-28,37528
76327,990403,3638,2023-06-25,25861
809545,801366,2350,2023-05-14,56349
907456,517071,1156,2023-06-27,34589
939263,350226,2742,2023-03-09,41084
892860,190403,3151,2015-02-10,24990
463075,254565,2846,2010-06-25,27088
820185,386215,2582,2014-05-20,21284
390285,318566,2985,2020-12-05,32323
656864,495638,571,2021-06-21,25382
574355,17926,167,2018-04-28,41932
587869,560167,269,2023-08-04,39825
798656,163032,1438,2021-07-22,41244
282013,637320,1110,2023-05-21,54341
163905,109462,1139,2023-04-16,24514
485873,12018,3932,2023-06-03,53567
947483,904798,1342,2021-11-20,40632
924139,777363,2755,2021-08-01,40324
753198,205869,1931,2014-09-19,26386
470294,167235,3183,2022-05-02,25432
564167,117749,1486,2018-04-29,27535
316308,49335,3336,2023-10-05,29307
804385,109985,2999,2023-09-03,38143
91089,232227,1197,2023-11-22,40460
627241,904852,2334,2015-11-28,24915
26490,27555,3060,2021-01-16,42409
180403,137226,2255,2020-10-23,53823
102105,556246,3351,2015-01-13,37671
556947,721024,975,2022-07-27,36029
530024,532507,840,2023-10-24,35500
161194,327263,1389,2023-10-28,27603
107902,467471,3908,2019-08-13,25356
765253,281906,3368,2023-06-24,45014
221226,59119,3947,2016-01-24,32067
831815,8112,3668,2020-09-28,37877
958723,526588,1447,2023-06-28,26884
65601,852526,1112,2011-04-23,42169
259064,907420,1244,2023-10-09,23052
534326,501785,819,2017-12-16,38259
521095,858719,1388,2021-01-02,43992
501143,145976,740,2018-02-13,24901
629066,748326,1650,2020-12-11,23267
988617,190985,1013,2019-07-13,26079
639442,254400,3709,2023-08-21,57741
342028,963990,2414,2023-04-10,26747
928166,913455,718,2018-10-07,24455
519420,190109,3075,2015-03-02,29844
243936,713714,2503,2014-12-15,25651
49732,118215,2431,2014-12-26,52558
713910,713171,1498,2022-04-30,39542
121063,464620,122,2022-03-26,29737
667516,907473,1373,2013-09-10,56322
659052,933862,3132,2018-10-06,26574
240902,673445,1343,2018-02-13,22982
520867,292153,474,2011-06-09,38778
80654,997235,3530,2021-01-13,43645
265970,636316,595,2023-03-16,36914
95188,176229,2491,2015-10-10,55849
406679,363499,119,2013-09-12,32579
355253,931112,657,2014-10-27,28727
660649,449457,2474,2006-08-05,27697
400314,926616,235,2018-02-04,23064
790050,455293,931,2021-03-10,22512
642190,25328,3791,2016-11-14,45284
437780,830107,3980,2023-09-07,24613
334804,132311,2346,2003-01-26,34881
841724,153543,3100,2023-02-26,32374
665160,225780,1629,2019-06-24,47512
17591,575007,1510,2010-03-18,24709
664302,399551,362,2011-03-06,43799
981327,607873,2922,2018-08-24,34450
719217,653675,2029,2015-09-02,27123
732469,56563,2563,2017-11-05,26430
981858,747371,1592,2017-08-13,44825
441851,787128,1712,2022-11-14,36840
448134,465876,662,2023-08-29,35722
639373,3462,973,2021-04-20,22720
61199,895294,3545,2023-03-02,30495
501253,11278,271,2021-02-25,35721
682384,929987,3582,2016-03-07,25386
86763,204043,1319,2020-06-22,25641
322246,617934,551,2012-11-27,22635
50204,202189,1964,2023-04-12,27128
837263,854448,414,2022-05-09,30071
817306,13451,1953,2022-08-20,26456
485765,453803,1303,2016-05-13,26053
