"vehicle_id","miles_used","color","engine_type","transmission_type","number_of_seats"
214363,,"Silver","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
813950,,"Red","Turbocharged Gas I4","8-speed automatic",5
494481,,"White","Gas (V6)","8-speed shiftable automatic",7
388014,27507,"White","Gasoline (I-4)","CVT",5
287300,,"Red","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
852621,,"White","Gas (V6)","9-speed automatic",5
686118,5349,"Grey","Gas (V6)","8-speed shiftable automatic",7
990403,,"White","Gasoline (V6)","Xtronic CVT®",5
801366,,"Red","Electric (Battery-powered)","Automatic",5
517071,,"Red","Gas/Electric I-4","CVT",5
350226,,"Silver","Gas (V6)","8-speed shiftable automatic",7
689009,58714,"Black","Gas","10-speed shiftable automatic",5
494977,,"Grey","Gasoline (V6)","8-speed shiftable automatic",7
190403,,"Black","Gasoline (I-4)","Continuously variable-speed automatic",5
775709,,"White","Turbocharged Gas I4","8-speed automatic",5
572498,,"Navy Blue","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
339184,,"White","Turbocharged Gas 3-Cyl","6-speed automatic",5
254565,,"Black","Gas","6-speed shiftable automatic",5
386215,15932,"Navy Blue","Turbocharged Gas 3-Cyl","6-speed automatic",5
997147,,"Navy Blue","Gasoline (I-4)","Continuously variable-speed automatic",5
118430,,"Silver","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
318566,,"Red","Gas/Electric I-4","CVT w/OD",5
459973,49300,"Red","Gas/Electric I-4","CVT w/OD",5
495638,,"White","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
48134,,"Black","Gas","10-speed shiftable automatic",5
531407,,"Red","Turbocharged Gas I4","6-speed automatic",3
17926,,"Red","V6","10-speed automatic",8
617726,,"Silver","Gasoline (V6)","8-speed shiftable automatic",7
560167,,"Black","Gas","10-speed shiftable automatic",5
163032,52594,"Black","Gas (V6)","9-speed automatic",5
663834,,"Grey","Turbocharged Gas I4","8-speed automatic",5
637320,,"Silver","Electric (Battery-powered)","Automatic",5
522774,,"Grey","Gasoline (V6)","8-speed shiftable automatic",7
109462,,"Black","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
12018,,"Grey","Electric (Battery-powered)","Automatic",5
101663,,"White","Gasoline (V6)","9-speed automatic",5
326461,,"Red","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
753140,,"Grey","Gasoline (V6)","8-speed shiftable automatic",7
386171,,"Black","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
940364,,"Black","Gasoline (I-4)","Continuously variable-speed automatic",5
904798,69980,"White","V6","10-speed automatic",8
637284,,"White","Gas (V6)","8-speed shiftable automatic",7
777363,,"Navy Blue","V6","10-speed automatic",8
205869,,"White","Gasoline (V6)","Xtronic CVT®",5
167235,,"Navy Blue","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
707962,,"Red","Gas (V6)","9-speed automatic",5
117749,,"Silver","Gas","6-speed shiftable automatic",5
49335,,"Red","Turbocharged Gas I4","8-speed automatic",5
109985,,"Red","Gas (V6)","8-speed shiftable automatic",7
729614,,"Grey","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
232227,,"Grey","Gas (V6)","8-speed shiftable automatic",7
577640,,"Navy Blue","Turbocharged Gas I4","6-speed automatic",3
191469,,"Black","Gas","10-speed shiftable automatic",5
904852,,"Silver","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
